ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple,win_rate_static_3
[[0.00046159]],0.32715508,,,
[[2.3327384e-05]],0.25790793,,,
[[1.6907601e-05]],0.2240456,,,
[[2.2851404e-05]],0.20678164,,,
[[1.7635335e-05]],0.2497701,,,
[[0.00066609]],0.19148861,,,
[[4.897931e-06]],0.18864162,,,
[[0.00092053]],0.16582863,,,
[[0.00064634]],0.16985,,,
[[0.00068538]],0.20655394,,,
[[4.825203e-05]],0.18295006,,,
[[8.885868e-05]],0.17993449,,,
[[1.3865725e-05]],0.15079653,,,
[[0.00038186]],0.15740901,,,
[[2.91933e-05]],0.14399429,,,
[[0.00013151]],0.15373337,,,
,,0.12,0.54,0.92
[[8.711816e-06]],0.15685321,,,
[[0.0002648]],0.15458119,,,
[[0.00038539]],0.14730527,,,
[[7.563603e-05]],0.14793667,,,
[[0.00117242]],0.14883175,,,
[[0.00011981]],0.13993391,,,
[[0.00025563]],0.1569635,,,
[[0.00041655]],0.15577216,,,
[[9.769598e-06]],0.13477458,,,
[[6.177315e-05]],0.127273,,,
[[8.224964e-05]],0.14168854,,,
[[0.00019377]],0.14611474,,,
[[1.9652778e-05]],0.12161218,,,
[[0.00022537]],0.12535708,,,
[[3.732136e-05]],0.11917473,,,
[[0.00260404]],0.14664887,,,
,,0.36,0.48,0.88
[[2.317508e-05]],0.12883578,,,
[[0.00039215]],0.121608116,,,
[[0.00097438]],0.12052809,,,
[[3.0134193e-05]],0.114098385,,,
[[0.0001176]],0.13059573,,,
[[0.00105957]],0.13220325,,,
[[1.0581258e-05]],0.12192877,,,
[[0.00015614]],0.1263072,,,
[[0.00048088]],0.12183585,,,
[[2.6138217e-05]],0.11866726,,,
[[0.0019729]],0.11146347,,,
[[9.831572e-06]],0.11700279,,,
[[0.00034778]],0.12340644,,,
[[7.702233e-05]],0.13091029,,,
[[0.00034861]],0.11325132,,,
[[0.00215682]],0.10288555,,,
,,0.4,0.44,0.94
[[0.00049819]],0.10116799,,,
[[9.855064e-05]],0.10898039,,,
[[0.00024746]],0.10960074,,,
[[8.294377e-06]],0.1106375,,,
[[7.310847e-05]],0.11230693,,,
[[0.00015569]],0.08446278,,,
[[8.834818e-05]],0.11241977,,,
[[0.0001217]],0.103477076,,,
[[0.00041198]],0.10843802,,,
[[7.868687e-05]],0.11555338,,,
[[5.77269e-05]],0.10645196,,,
[[0.00216319]],0.10081554,,,
[[0.00035321]],0.11302845,,,
[[0.00096218]],0.103633255,,,
[[1.8342369e-05]],0.11107245,,,
[[0.00056152]],0.104001306,,,
,,0.44,0.46,0.82
[[1.5353819e-05]],0.10999956,,,
[[9.547274e-05]],0.12088732,,,
[[0.00013032]],0.10255014,,,
[[0.00056676]],0.10250597,,,
[[5.521671e-05]],0.09408643,,,
[[0.00065137]],0.09764156,,,
[[4.0645224e-05]],0.09301738,,,
[[0.00098853]],0.083879,,,
[[5.8956477e-05]],0.09920285,,,
[[0.00012688]],0.094997175,,,
[[0.00015894]],0.09808042,,,
[[0.00029594]],0.093767606,,,
[[0.00303692]],0.08478896,,,
[[2.5015055e-05]],0.08630606,,,
[[2.1181588e-05]],0.10682855,,,
[[0.00110037]],0.094225034,,,
,,0.52,0.54,0.84
[[0.00030225]],0.10296104,,,
[[0.00013699]],0.0874954,,,
[[0.00038026]],0.09868906,,,
[[0.00029364]],0.09098267,,,
[[2.6488773e-05]],0.07325116,,,
[[0.00018759]],0.092628576,,,
[[0.00016844]],0.10097232,,,
[[8.9635156e-05]],0.09231823,,,
[[0.00025541]],0.100421526,,,
[[1.7987399e-05]],0.097861566,,,
[[0.00119012]],0.08529207,,,
[[9.633602e-05]],0.09364427,,,
[[9.778272e-05]],0.08572262,,,
[[8.339608e-06]],0.07810223,,,
[[0.00212246]],0.07972807,,,
[[2.0407557e-05]],0.085143544,,,
,,0.48,0.42,0.9
[[0.00052381]],0.09551963,,,
[[0.00079051]],0.08116783,,,
[[6.5736844e-05]],0.07366191,,,
[[0.0005788]],0.092446335,,,
[[6.7766734e-05]],0.10047159,,,
[[0.00182823]],0.09775169,,,
[[6.921957e-05]],0.07834327,,,
[[0.00024172]],0.0953521,,,
[[0.00052079]],0.09770482,,,
[[0.00074533]],0.104013465,,,
[[0.00016991]],0.09441922,,,
[[0.0005439]],0.084686734,,,
[[0.00010625]],0.11149823,,,
[[0.00015237]],0.09488287,,,
[[0.00015334]],0.084336445,,,
[[3.3835888e-05]],0.081687964,,,
,,0.58,0.42,0.92
[[0.00028931]],0.08102897,,,
[[2.2671915e-05]],0.083128236,,,
[[1.1032426e-05]],0.07912476,,,
[[0.00182366]],0.08367205,,,
[[1.83193e-05]],0.07826506,,,
[[0.00045908]],0.09128714,,,
[[5.171241e-05]],0.08548344,,,
[[0.00296982]],0.08400092,,,
[[4.778847e-05]],0.07280177,,,
[[0.00012209]],0.07273861,,,
[[4.0689716e-05]],0.072933346,,,
[[0.00145236]],0.071383506,,,
[[2.500714e-05]],0.08887329,,,
[[0.00039407]],0.0771203,,,
[[0.0002742]],0.09711428,,,
[[0.00029134]],0.08456192,,,
,,0.54,0.44,0.84
[[9.708401e-05]],0.08254177,,,
[[0.00102293]],0.082779065,,,
[[0.00015538]],0.073058985,,,
[[2.1111626e-05]],0.071643315,,,
[[0.00043116]],0.07502552,,,
[[0.00022496]],0.08235851,,,
[[4.6055586e-05]],0.07585609,,,
[[0.00010365]],0.08126612,,,
[[0.00074939]],0.07600014,,,
[[0.00040296]],0.082753666,,,
[[2.7379638e-05]],0.099955425,,,
[[0.00030966]],0.097316906,,,
[[8.6854925e-05]],0.07605663,,,
[[0.00024503]],0.07427819,,,
[[0.0005266]],0.07509949,,,
[[1.2184641e-05]],0.08104906,,,
,,0.58,0.44,0.9
[[0.00183004]],0.070945896,,,
[[0.00025989]],0.08988741,,,
[[8.8751614e-05]],0.077006154,,,
[[0.00080478]],0.08009705,,,
[[2.2676852e-05]],0.07878897,,,
[[0.00011734]],0.08019407,,,
[[0.00017816]],0.07887775,,,
[[0.00115145]],0.089358,,,
[[0.00138881]],0.08562968,,,
[[0.00082061]],0.078459874,,,
[[0.00013663]],0.0891783,,,
[[0.00031316]],0.07242205,,,
[[0.00027025]],0.07480256,,,
[[0.00040581]],0.07817045,,,
[[0.00046161]],0.085255496,,,
[[1.6838505e-05]],0.0739471,,,
,,0.6,0.48,0.9
[[0.00050694]],0.08217852,,,
[[0.00057862]],0.07079377,,,
[[0.00199958]],0.072967894,,,
[[0.00060547]],0.0743513,,,
[[0.00041763]],0.07344601,,,
[[5.2835316e-05]],0.072763436,,,
[[2.8743412e-05]],0.080450125,,,
[[0.00022701]],0.07452814,,,
[[4.763113e-05]],0.07701609,,,
[[0.00116094]],0.08044634,,,
[[0.00017019]],0.07045064,,,
[[0.00075264]],0.07615322,,,
[[0.00047146]],0.076076105,,,
[[1.0099507e-05]],0.06305923,,,
[[0.00047671]],0.082598835,,,
[[9.3498646e-05]],0.0799374,,,
,,0.68,0.42,0.94
[[0.0002126]],0.07289,,,
[[0.00016592]],0.07873507,,,
[[0.00011062]],0.071552694,,,
[[0.00064752]],0.07612622,,,
[[0.00444885]],0.06541718,,,
[[4.636585e-05]],0.06883782,,,
[[0.00017775]],0.07437631,,,
[[0.0003108]],0.070917286,,,
[[0.00069535]],0.077410676,,,
[[1.9111543e-05]],0.08102685,,,
[[0.00048969]],0.08045336,,,
[[3.4760116e-05]],0.070347585,,,
[[0.00017956]],0.07257863,,,
[[0.00014357]],0.066259906,,,
[[0.00010854]],0.07797082,,,
[[0.00042149]],0.07064095,,,
,,0.66,0.46,0.98
[[0.00027845]],0.06996072,,,
[[7.3286676e-05]],0.082338184,,,
