ewc_loss,kl_loss,win_rate_simple,win_rate_static_3
[[0.00018271]],0.32083032,,
[[7.874426e-06]],0.28360334,,
[[4.1224866e-06]],0.28989494,,
[[3.0789058e-06]],0.25125396,,
[[3.245082e-06]],0.20561881,,
[[3.591304e-06]],0.21222176,,
[[2.4323506e-06]],0.21226476,,
[[0.00081186]],0.19864213,,
[[6.9048356e-06]],0.16161849,,
[[1.8713054e-06]],0.16779064,,
[[9.556213e-06]],0.11828927,,
[[1.7850029e-05]],0.12523125,,
[[1.9341775e-05]],0.13367736,,
[[2.231738e-05]],0.101778924,,
[[3.583966e-05]],0.11745609,,
[[3.1080745e-06]],0.118796915,,
,,0.42,1.0
[[0.00012282]],0.11921865,,
[[8.193746e-06]],0.09972295,,
[[2.8189505e-05]],0.11344167,,
[[7.423195e-05]],0.09211287,,
[[4.0558294e-05]],0.088671535,,
[[2.2829185e-05]],0.09407382,,
[[0.00014955]],0.09469225,,
[[3.0089608e-05]],0.1048142,,
[[5.037352e-06]],0.065749206,,
[[0.00010351]],0.08782411,,
[[2.7684238e-05]],0.07434018,,
[[0.0003279]],0.06280396,,
[[0.00016606]],0.078633144,,
[[0.00010767]],0.08793619,,
[[0.00141801]],0.077073276,,
[[0.00025922]],0.08136702,,
,,0.6,0.92
[[5.8072915e-06]],0.065686196,,
[[2.425908e-05]],0.07365456,,
[[1.4884368e-05]],0.076172516,,
[[5.2135656e-05]],0.07282832,,
[[3.8802587e-05]],0.06885131,,
[[9.845164e-05]],0.056418095,,
[[2.784527e-06]],0.06480281,,
[[3.6075e-05]],0.051627398,,
[[0.00045782]],0.09119089,,
[[0.00065859]],0.077683054,,
[[8.349352e-05]],0.06927838,,
[[2.5195484e-05]],0.06280987,,
[[7.554028e-06]],0.07264637,,
[[0.00057147]],0.056875315,,
[[1.929126e-05]],0.06145911,,
[[0.00014096]],0.06130701,,
,,0.6,0.64
[[0.00013075]],0.046258196,,
[[1.9452964e-05]],0.049956903,,
[[0.0006234]],0.0410954,,
[[2.0006664e-05]],0.055753656,,
[[0.00060554]],0.06182608,,
[[0.0001573]],0.05405039,,
[[9.6636635e-05]],0.047066227,,
[[4.9228354e-05]],0.047446422,,
[[3.141371e-05]],0.06225359,,
[[0.00020313]],0.048620716,,
[[0.00043811]],0.058306325,,
[[0.00073613]],0.048384134,,
[[0.00035044]],0.05301549,,
[[2.692523e-05]],0.052036002,,
[[0.0002824]],0.05557908,,
[[0.00026588]],0.04159543,,
,,0.76,0.6
[[0.00010433]],0.038350176,,
[[4.664975e-05]],0.04917276,,
[[1.1617894e-05]],0.047728978,,
[[0.00013256]],0.05212797,,
[[9.613622e-05]],0.04727903,,
[[2.8064467e-06]],0.037568286,,
[[0.00049595]],0.038083635,,
[[5.753628e-05]],0.04247205,,
[[4.3894666e-05]],0.04411891,,
[[0.00063262]],0.04940155,,
[[6.5226754e-06]],0.040328044,,
[[6.2633035e-06]],0.04628503,,
[[2.7945273e-06]],0.03968725,,
[[0.00020206]],0.050699238,,
[[0.00064152]],0.046629902,,
[[0.00049433]],0.052835785,,
,,0.76,0.44
[[4.648751e-05]],0.040388074,,
[[0.00036286]],0.047457743,,
[[0.00016287]],0.04600457,,
[[3.4276633e-05]],0.041862197,,
[[2.1431506e-05]],0.043344196,,
[[2.8885072e-06]],0.044112578,,
[[0.00031243]],0.045236535,,
[[1.0036598e-05]],0.04083143,,
[[0.00015172]],0.03663061,,
[[2.7778904e-05]],0.047473103,,
[[4.8812253e-06]],0.03988413,,
[[0.00043213]],0.04307609,,
[[0.00018078]],0.03422166,,
[[0.00016721]],0.040258817,,
[[0.00072467]],0.04731635,,
[[3.2016243e-05]],0.045397248,,
,,0.62,0.46
[[0.00061105]],0.0443986,,
[[0.00015795]],0.03576785,,
[[1.8285122e-05]],0.04437157,,
[[0.00038881]],0.046976436,,
[[8.638618e-05]],0.039397575,,
[[0.00031623]],0.058707118,,
[[4.4963923e-05]],0.04549496,,
[[5.6058245e-05]],0.038257346,,
[[0.00050169]],0.046774793,,
[[4.305756e-05]],0.04140954,,
[[0.00022175]],0.04022665,,
[[3.680984e-05]],0.040082265,,
[[5.201278e-05]],0.03599453,,
[[4.4154236e-05]],0.046577875,,
[[6.44376e-05]],0.037550658,,
[[0.00051065]],0.03976181,,
,,0.72,0.32
[[2.6272992e-05]],0.043373417,,
[[4.8030037e-05]],0.03828407,,
[[6.662562e-06]],0.030713113,,
[[0.0004988]],0.035294995,,
[[0.0001171]],0.040599395,,
[[3.896295e-06]],0.03813371,,
[[0.0005008]],0.03281374,,
[[4.219964e-05]],0.033063415,,
[[0.00032499]],0.037539005,,
[[1.2926394e-05]],0.03399176,,
[[0.00014278]],0.034987386,,
[[0.00014948]],0.033581294,,
[[1.9152578e-05]],0.030798597,,
[[0.00054766]],0.03852755,,
[[0.00012994]],0.048713826,,
[[1.25527295e-05]],0.03149318,,
,,0.78,0.26
[[0.00030826]],0.034641832,,
[[0.00014353]],0.0401578,,
[[2.8385398e-06]],0.030236783,,
[[0.00058512]],0.032799143,,
[[6.158584e-05]],0.03159686,,
[[1.8878976e-05]],0.035584778,,
[[0.00018238]],0.03761235,,
[[7.97085e-05]],0.03237598,,
[[0.00026456]],0.040973805,,
[[6.4622895e-05]],0.032527078,,
[[0.00015831]],0.033659186,,
[[5.0676295e-05]],0.037741285,,
[[0.0003559]],0.028819252,,
[[0.00013243]],0.039105617,,
[[1.4075426e-05]],0.033727065,,
[[3.5489345e-05]],0.030182486,,
,,0.6,0.18
[[0.0001766]],0.02872804,,
[[1.8363067e-05]],0.026128676,,
[[3.1838637e-05]],0.027757594,,
[[0.00031563]],0.03296253,,
[[1.2017825e-05]],0.029344868,,
[[0.00017373]],0.03304872,,
[[1.1943434e-05]],0.028625352,,
[[0.00013453]],0.040350832,,
[[5.1677718e-05]],0.023025583,,
[[0.00018129]],0.028866362,,
[[2.5969268e-05]],0.031127067,,
[[6.7459478e-06]],0.028865641,,
[[0.00048011]],0.02834814,,
[[5.1254952e-05]],0.027115583,,
[[2.5473623e-06]],0.03908302,,
[[0.0001727]],0.034288734,,
,,0.72,0.24
[[1.4618268e-05]],0.03193569,,
[[3.961399e-05]],0.029572135,,
[[0.00010533]],0.0297197,,
[[0.00025667]],0.02929588,,
[[9.505457e-06]],0.026401227,,
[[0.00010429]],0.027761195,,
[[0.00020321]],0.036534835,,
[[1.4150574e-05]],0.029633794,,
[[0.00043761]],0.028323583,,
[[0.00022634]],0.028917162,,
[[2.048201e-05]],0.027635891,,
[[1.4582608e-05]],0.030327167,,
[[0.00025571]],0.033565756,,
[[0.00011848]],0.028318675,,
[[4.279629e-05]],0.028648147,,
[[5.6889465e-05]],0.032772128,,
,,0.88,0.14
[[0.00013208]],0.029489186,,
[[1.5066373e-05]],0.027045196,,
[[2.7093169e-05]],0.037228312,,
[[5.257861e-05]],0.032441203,,
[[1.591689e-05]],0.028171506,,
[[4.96403e-05]],0.033417508,,
[[3.099648e-05]],0.024250112,,
[[0.00092357]],0.03657191,,
[[3.4802884e-05]],0.02520951,,
[[3.898369e-05]],0.031897824,,
[[2.0338457e-05]],0.023640372,,
[[0.00035961]],0.03218834,,
[[2.6683043e-05]],0.030484565,,
[[7.001456e-05]],0.030726925,,
[[0.00071314]],0.035705887,,
[[0.00042774]],0.026547218,,
,,0.78,0.12
[[9.513384e-06]],0.031751767,,
[[6.245848e-05]],0.02738004,,
[[1.0248044e-05]],0.02357438,,
[[0.00097715]],0.030578645,,
[[0.0001882]],0.028562203,,
[[0.00018948]],0.024470525,,
[[0.00027046]],0.027128972,,
[[0.0003857]],0.035448905,,
[[0.00026067]],0.030701678,,
[[1.0077826e-05]],0.027739348,,
[[8.083717e-05]],0.026536535,,
[[0.0008024]],0.03224369,,
[[3.0670737e-05]],0.024925012,,
[[4.977121e-06]],0.02886384,,
[[0.00015114]],0.030167121,,
[[0.00023775]],0.03210394,,
,,0.76,0.12
[[7.538155e-05]],0.027128706,,
[[1.8111321e-05]],0.0227554,,
[[3.249714e-05]],0.029594364,,
[[1.2571326e-05]],0.030708417,,
[[0.00012501]],0.02465511,,
[[1.6802268e-06]],0.02641621,,
[[8.1803475e-05]],0.029175539,,
[[0.00014022]],0.028918285,,
[[2.6061407e-05]],0.024679167,,
[[0.0004189]],0.02749562,,
[[1.0082079e-05]],0.033499133,,
[[0.00055388]],0.025702786,,
[[0.00021678]],0.025615651,,
[[0.00013644]],0.03153183,,
[[8.652975e-06]],0.025566487,,
[[0.00077849]],0.025688915,,
,,0.86,0.12
[[0.00010904]],0.027843194,,
[[3.8445076e-05]],0.026324049,,
[[0.0013061]],0.023330366,,
[[0.00086454]],0.02709817,,
[[3.6607344e-05]],0.025728336,,
[[9.8183256e-05]],0.030927408,,
[[0.00011131]],0.028270612,,
[[3.3575594e-05]],0.023345942,,
[[0.00011563]],0.030784613,,
[[4.948019e-05]],0.029852364,,
[[2.1654476e-05]],0.026121171,,
[[4.227282e-06]],0.039644394,,
[[6.323681e-05]],0.024934769,,
[[3.0890076e-06]],0.027020188,,
[[0.00012937]],0.02333126,,
[[3.7440346e-05]],0.023283042,,
,,0.9,0.06
[[2.2072143e-05]],0.02537197,,
[[0.00033334]],0.02308648,,
[[9.542416e-06]],0.027858563,,
[[0.00019217]],0.029742498,,
[[3.6767025e-05]],0.021672664,,
[[5.9589223e-05]],0.029082233,,
[[1.9209228e-05]],0.026164439,,
[[0.00015274]],0.025031827,,
[[6.437752e-05]],0.02772019,,
[[1.9637457e-05]],0.024787666,,
[[0.00011953]],0.025979552,,
[[0.00014636]],0.032256443,,
[[0.00072988]],0.028165335,,
[[4.725152e-05]],0.02715125,,
[[0.00063827]],0.025768152,,
[[5.782369e-05]],0.027953548,,
,,0.96,0.1
[[1.3603536e-05]],0.021411626,,
[[0.00015849]],0.024914052,,
[[0.00015688]],0.036189858,,
[[0.00013764]],0.025832891,,
[[5.3375472e-05]],0.027863696,,
[[1.1587976e-05]],0.03054171,,
[[0.00027082]],0.027298382,,
[[0.00011947]],0.031529073,,
[[3.8651497e-06]],0.027482398,,
[[7.869804e-05]],0.023764318,,
[[7.568646e-05]],0.021991698,,
[[0.00011674]],0.023364985,,
[[1.6962629e-06]],0.020495774,,
[[0.00050553]],0.02326481,,
[[5.9947808e-05]],0.027076716,,
[[1.1575055e-05]],0.02465971,,
,,0.86,0.0
[[5.286384e-05]],0.021090481,,
[[0.0001135]],0.023581684,,
[[0.00025223]],0.027439695,,
[[2.0073914e-05]],0.026125625,,
[[7.838192e-05]],0.020705413,,
[[1.8097298e-06]],0.02359118,,
[[0.00014502]],0.022525346,,
[[4.2912372e-05]],0.026100857,,
[[0.0003395]],0.024067732,,
[[1.22513e-05]],0.023680225,,
[[1.383476e-05]],0.024058027,,
[[8.205871e-05]],0.022648454,,
[[0.00026451]],0.022681456,,
[[4.780931e-05]],0.019276982,,
[[0.00018021]],0.021563718,,
