ewc_loss,kl_loss,win_rate_simple,win_rate_static_3
[[0.6403128]],0.3061494,,
[[0.6695066]],0.21945009,,
[[0.77812296]],0.17977247,,
[[0.8692]],0.15983373,,
[[1.0605086]],0.12013048,,
[[1.0636461]],0.11024679,,
[[1.2100832]],0.0944702,,
[[1.2937021]],0.083433874,,
[[1.3487962]],0.095414504,,
[[1.4581244]],0.07344553,,
[[1.5523684]],0.054310814,,
[[1.5397413]],0.06616552,,
[[1.5275334]],0.08143935,,
[[1.6647689]],0.060334835,,
[[1.7180159]],0.06912256,,
[[1.742683]],0.056638304,,
,,0.72,0.0
[[1.7770637]],0.05253235,,
[[1.8708704]],0.045668878,,
[[1.816349]],0.048529215,,
[[1.8214834]],0.04228346,,
[[1.8317057]],0.04260927,,
[[1.9708931]],0.049523063,,
[[2.0040994]],0.04213595,,
[[2.0925384]],0.04161997,,
[[2.0886655]],0.040462088,,
[[2.0873733]],0.04319867,,
[[2.1001458]],0.032665454,,
[[2.2740967]],0.041039366,,
[[2.3495293]],0.051176243,,
[[2.3686738]],0.037309103,,
[[2.4152877]],0.04737769,,
[[2.4137564]],0.03259794,,
,,0.9,0.0
[[2.4148178]],0.039826687,,
[[2.477813]],0.03277379,,
[[2.4868376]],0.039171726,,
[[2.5629437]],0.029368037,,
[[2.6041627]],0.02723103,,
[[2.6053169]],0.028567478,,
[[2.7796106]],0.029416604,,
[[2.7647002]],0.028766388,,
[[2.8691092]],0.031297393,,
[[2.9303982]],0.0365817,,
[[3.0102177]],0.028350662,,
[[2.9360504]],0.0347444,,
[[2.821593]],0.0456003,,
[[3.0327728]],0.027076364,,
[[2.9852452]],0.028433345,,
[[3.03929]],0.024758361,,
,,0.8,0.0
[[3.1621008]],0.020207427,,
[[3.1092882]],0.024035038,,
[[3.1290803]],0.021947647,,
[[3.20783]],0.019199843,,
[[3.360525]],0.02285025,,
[[3.152686]],0.021792369,,
[[3.0394895]],0.02370351,,
[[3.147568]],0.018788893,,
[[3.3692207]],0.02626201,,
[[3.419389]],0.025125347,,
[[3.5968494]],0.023351569,,
[[3.6633666]],0.028071322,,
[[3.6186333]],0.024453932,,
[[3.5870812]],0.022319088,,
[[3.7175539]],0.02286365,,
[[3.7315633]],0.03249901,,
,,0.86,0.0
[[3.6319773]],0.019355193,,
[[3.5257163]],0.020782571,,
[[3.5857868]],0.022649102,,
[[3.6761653]],0.024489349,,
[[3.7038817]],0.019050235,,
[[3.6761932]],0.022779489,,
[[3.6716604]],0.022705004,,
[[3.7368326]],0.022334812,,
[[3.8627074]],0.017923212,,
[[3.8682928]],0.027846029,,
[[3.9307573]],0.020125242,,
[[3.9330685]],0.018241158,,
[[3.845899]],0.01899286,,
[[3.9771824]],0.015866213,,
[[3.9867084]],0.018932898,,
[[4.0613832]],0.02284567,,
,,0.9,0.0
[[4.065616]],0.016166355,,
[[4.137319]],0.020976877,,
[[4.278232]],0.01960334,,
[[4.2315598]],0.01786247,,
[[4.328931]],0.017427903,,
[[4.3656015]],0.020355394,,
[[4.270316]],0.01637023,,
[[4.564514]],0.01566518,,
[[4.2384014]],0.018267684,,
[[4.5087996]],0.018728986,,
[[4.5227804]],0.021440811,,
[[4.8412457]],0.019197032,,
[[4.6717277]],0.019155318,,
[[4.5792184]],0.022294095,,
[[4.7982655]],0.020543057,,
[[4.8165255]],0.014442146,,
,,0.94,0.0
[[4.7280426]],0.014706875,,
[[4.73567]],0.018789034,,
[[4.635058]],0.013278573,,
[[4.651499]],0.015621307,,
[[4.8019433]],0.016138012,,
[[5.0853825]],0.015704677,,
[[5.17761]],0.019338436,,
[[5.2716093]],0.0148201445,,
[[4.9966435]],0.012545859,,
[[5.144155]],0.013643022,,
[[5.0323253]],0.01547592,,
[[5.034438]],0.015557936,,
[[5.060097]],0.01701351,,
[[5.1272197]],0.019282635,,
[[5.038456]],0.021388052,,
[[4.9687223]],0.020183148,,
,,0.88,0.0
[[5.0138855]],0.013753513,,
[[5.0803957]],0.012966547,,
[[5.2535577]],0.01461672,,
[[5.138358]],0.01684898,,
[[5.5041995]],0.01610212,,
[[5.4919233]],0.012396909,,
[[5.5182543]],0.013575345,,
[[5.677782]],0.022479465,,
[[5.666298]],0.0130466595,,
[[5.695686]],0.017472895,,
[[5.6698165]],0.014499183,,
[[5.580479]],0.014351914,,
[[5.565237]],0.020109605,,
[[5.7260356]],0.014638751,,
[[5.8874407]],0.01748646,,
[[5.65409]],0.017676368,,
,,0.94,0.0
[[5.6843805]],0.012921014,,
[[5.6764345]],0.014149354,,
[[5.681084]],0.010871288,,
[[5.544008]],0.015037725,,
[[5.759013]],0.010290211,,
[[5.9737277]],0.013567094,,
[[5.8363724]],0.011086414,,
[[5.982144]],0.011565638,,
[[6.166353]],0.014560919,,
[[6.0167775]],0.012814281,,
[[5.909903]],0.013817945,,
[[5.83172]],0.016684426,,
[[5.745958]],0.013648553,,
[[5.7698827]],0.016592788,,
[[5.9186873]],0.013984654,,
[[6.206908]],0.016457547,,
,,0.96,0.02
[[6.1655674]],0.012856023,,
[[6.2083693]],0.012431917,,
[[6.520047]],0.01155779,,
[[6.393826]],0.01397335,,
[[6.3799667]],0.014596882,,
[[6.238599]],0.014859333,,
[[6.197712]],0.012275237,,
[[6.318871]],0.013883464,,
[[6.3413787]],0.010649376,,
[[6.5133924]],0.0098172035,,
[[6.658842]],0.014153844,,
[[6.5154915]],0.013494431,,
[[6.392797]],0.012258585,,
[[6.4652615]],0.015917627,,
[[6.2924175]],0.0120460335,,
[[6.348735]],0.014048772,,
,,0.98,0.0
[[6.3686004]],0.009171894,,
[[6.584553]],0.010966702,,
[[6.6017265]],0.014097912,,
[[6.566187]],0.010983811,,
[[6.5745587]],0.013304256,,
[[6.7761245]],0.011590501,,
[[6.87144]],0.01197995,,
[[6.862521]],0.011278433,,
[[6.5704403]],0.011951064,,
[[6.63184]],0.012820435,,
[[6.896037]],0.014940963,,
[[6.855588]],0.013206963,,
[[6.8765006]],0.010648975,,
