ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple
[[0.88487005]],0.11581448,,
[[1.0837699]],0.12522426,,
[[1.4028894]],0.07913325,,
[[1.5259988]],0.06403406,,
[[1.5702412]],0.07354619,,
[[1.7022104]],0.062395707,,
[[1.9074669]],0.048799057,,
[[1.9044735]],0.042774905,,
[[2.0171702]],0.035045747,,
[[2.103052]],0.0319872,,
[[2.121047]],0.032778457,,
[[2.403804]],0.03693795,,
[[2.3890696]],0.034260668,,
[[2.5312855]],0.033261295,,
[[2.595164]],0.024344504,,
[[2.6964326]],0.022016075,,
,,0.82,0.56
[[2.5920618]],0.029568078,,
[[2.7586868]],0.019529294,,
[[2.815376]],0.025413042,,
[[2.9182322]],0.022214863,,
[[2.864926]],0.024700608,,
[[2.8030152]],0.024347652,,
[[2.87316]],0.01802545,,
[[2.8449037]],0.024334729,,
[[2.8279123]],0.020209668,,
[[3.0154145]],0.022826832,,
[[3.2556336]],0.018553209,,
[[3.29939]],0.021092992,,
[[3.3454828]],0.02321725,,
[[3.3609288]],0.018874217,,
[[3.2988935]],0.031231565,,
[[3.3092668]],0.020842561,,
,,0.9,0.38
[[3.2708967]],0.019747006,,
[[3.2288146]],0.0149187455,,
[[3.2899635]],0.015738271,,
[[3.243841]],0.018423552,,
[[3.2115064]],0.01502027,,
[[3.2399402]],0.016359232,,
[[3.3639746]],0.01762487,,
[[3.295627]],0.017714243,,
[[3.3275788]],0.014847953,,
[[3.428347]],0.014426939,,
[[3.3308408]],0.020133186,,
[[3.4580665]],0.017074874,,
[[3.498707]],0.019673605,,
[[3.400043]],0.015898032,,
[[3.5155375]],0.01759153,,
[[3.6398926]],0.018661946,,
,,0.94,0.42
[[3.662885]],0.011767251,,
[[3.7626483]],0.01261043,,
[[3.798775]],0.01579762,,
[[3.6459074]],0.012640545,,
[[3.6092796]],0.011815079,,
[[3.6532547]],0.011918323,,
[[3.6738136]],0.015105908,,
[[3.7670827]],0.016762288,,
[[3.860395]],0.01675551,,
[[3.9275959]],0.01478242,,
[[3.9051576]],0.01695101,,
[[3.888277]],0.011796326,,
[[3.9320707]],0.016785927,,
[[3.8786633]],0.011397316,,
[[3.9918551]],0.012089542,,
[[3.903201]],0.01277693,,
,,0.96,0.34
[[4.063126]],0.018510913,,
[[3.9608]],0.010261181,,
[[4.079254]],0.014993645,,
[[4.015097]],0.014324272,,
[[4.2301903]],0.01113202,,
[[3.994137]],0.013912344,,
[[4.069982]],0.012405485,,
[[4.2204647]],0.009275462,,
[[4.363447]],0.012941365,,
[[4.4140096]],0.01193564,,
[[4.4015536]],0.014195404,,
[[4.5980153]],0.011869708,,
[[4.779585]],0.013268433,,
[[4.656103]],0.013236152,,
[[4.705741]],0.011373887,,
[[4.740093]],0.011664807,,
,,0.96,0.28
[[4.769404]],0.010869596,,
[[4.7914066]],0.012204688,,
[[4.791709]],0.00932403,,
[[4.7322845]],0.011456825,,
[[4.7413898]],0.010457439,,
[[4.8602157]],0.013862171,,
[[5.045268]],0.011722939,,
[[5.03201]],0.011422179,,
[[5.0981855]],0.01380493,,
[[4.975307]],0.01001433,,
[[5.2383795]],0.012216358,,
[[5.207432]],0.011519288,,
[[5.1073914]],0.009825723,,
[[5.3492985]],0.013122916,,
[[5.3161626]],0.0138708195,,
[[5.4211965]],0.014019694,,
,,0.96,0.44
[[5.350066]],0.0096516665,,
[[5.2256126]],0.009784417,,
[[5.2927055]],0.013797696,,
[[5.483468]],0.010885459,,
[[5.347042]],0.014739949,,
[[5.3264904]],0.0077287834,,
[[5.4921794]],0.00730599,,
[[5.5672207]],0.007714614,,
[[5.837601]],0.010310148,,
[[5.950572]],0.013524443,,
[[5.850518]],0.011250293,,
[[5.9967456]],0.010640907,,
[[6.076737]],0.009907048,,
[[6.1239486]],0.011879008,,
[[6.1665244]],0.0088938065,,
[[6.0493774]],0.014788705,,
,,0.9,0.46
[[6.1726904]],0.008451533,,
[[6.114674]],0.006800982,,
[[6.0611467]],0.00919882,,
[[6.2256813]],0.008923488,,
[[6.320555]],0.009834823,,
[[6.5523715]],0.009199461,,
[[6.4741526]],0.009010973,,
[[6.444928]],0.0088310065,,
[[6.41326]],0.007787479,,
[[6.65859]],0.00862451,,
[[6.4953885]],0.010887217,,
[[6.4357724]],0.011465236,,
[[6.361682]],0.008800929,,
[[6.382816]],0.009099057,,
[[6.2507863]],0.008462526,,
[[6.401645]],0.01060447,,
,,0.92,0.28
[[6.332589]],0.007898084,,
[[6.5879126]],0.008933847,,
[[6.3237567]],0.00916038,,
[[6.3751965]],0.008408584,,
[[6.2637863]],0.008053057,,
[[6.2590656]],0.008442829,,
[[6.4117827]],0.00871756,,
[[6.5315323]],0.009062419,,
[[6.479771]],0.009043466,,
[[6.5197825]],0.008302936,,
[[6.6471176]],0.008066773,,
[[6.7065835]],0.008212494,,
[[6.833618]],0.008758455,,
[[6.914122]],0.01071145,,
[[6.972704]],0.008849948,,
[[7.1032915]],0.008600953,,
,,0.96,0.32
[[6.9652286]],0.008277869,,
[[6.989859]],0.0071943216,,
[[7.1080484]],0.0086815115,,
[[7.0324693]],0.0077570216,,
[[6.9898043]],0.009518298,,
[[7.0659804]],0.009123984,,
[[7.1876125]],0.008977144,,
[[7.2510576]],0.008770537,,
[[7.3666463]],0.010367686,,
[[7.619422]],0.008431089,,
[[7.643963]],0.007450025,,
[[7.4135456]],0.008748019,,
[[7.573005]],0.008391091,,
[[7.555814]],0.008883742,,
[[7.6498613]],0.0076151555,,
[[7.569174]],0.009196032,,
,,0.98,0.32
[[7.6027513]],0.007876085,,
[[7.5012026]],0.0072195376,,
[[7.595933]],0.007579759,,
[[7.6695642]],0.014232034,,
[[7.516504]],0.008060206,,
[[7.463918]],0.0068647545,,
[[7.6208596]],0.0069470257,,
[[7.985098]],0.008197819,,
[[7.8988705]],0.008582378,,
[[7.900457]],0.008427151,,
[[7.8462224]],0.0064721135,,
[[7.9083543]],0.008013751,,
[[7.953939]],0.008523928,,
[[8.109172]],0.007714468,,
[[7.9479394]],0.010463346,,
[[7.9043317]],0.006358689,,
,,0.92,0.38
[[7.925672]],0.007736068,,
[[7.988867]],0.0061033666,,
[[8.075443]],0.00766764,,
[[8.370705]],0.007066077,,
[[8.324984]],0.008625614,,
[[8.297352]],0.0058928393,,
[[8.259463]],0.0072598606,,
[[8.413218]],0.0064686853,,
[[8.229618]],0.0059888,,
[[8.500804]],0.006345606,,
[[8.478712]],0.008331161,,
[[8.390773]],0.0061686425,,
[[8.618037]],0.0075229937,,
[[8.577691]],0.008640676,,
[[8.697413]],0.006392898,,
[[8.5436]],0.008055767,,
,,0.96,0.34
[[8.562092]],0.0059237694,,
[[8.6029825]],0.0058365036,,
[[8.729587]],0.005744785,,
[[8.714361]],0.0069849,,
[[8.917725]],0.0066814185,,
[[9.073203]],0.0071798144,,
[[9.176759]],0.0062152576,,
[[9.052974]],0.006878567,,
[[9.2244835]],0.0070163496,,
[[9.495145]],0.008101946,,
[[9.445015]],0.0051348344,,
[[9.511991]],0.0077268607,,
[[9.420259]],0.0072701443,,
