ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple
[[0.00019403]],0.60205394,,
[[2.6359861e-05]],0.29021934,,
[[1.5312982e-05]],0.19052206,,
[[1.1713429e-05]],0.21564798,,
[[2.3459319e-05]],0.17761968,,
[[8.332285e-06]],0.20199822,,
[[7.78274e-06]],0.18683864,,
[[1.2632221e-05]],0.16568683,,
[[8.668572e-05]],0.14908403,,
[[0.00074548]],0.12956652,,
[[7.647117e-06]],0.13091592,,
[[5.8461583e-06]],0.13197437,,
[[1.6338687e-05]],0.15215982,,
[[2.5470383e-05]],0.120552994,,
[[1.9734802e-05]],0.10628614,,
[[0.00015193]],0.12579201,,
[[6.624332e-05]],0.1356441,,
,,0.38,0.28
[[6.287202e-05]],0.14445835,,
[[5.5123954e-05]],0.120896414,,
[[8.568005e-05]],0.11041048,,
[[0.0001519]],0.11756162,,
[[1.1413475e-05]],0.119554736,,
[[0.00072305]],0.11775251,,
[[1.6536884e-05]],0.12102646,,
[[0.00292208]],0.11277862,,
