ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple,win_rate_static_3
[[2.759663e-06]],0.4997345,,,
[[2.3203563e-06]],0.40087017,,,
[[1.5185724e-06]],0.37387466,,,
[[1.1242694e-06]],0.31393233,,,
[[1.0268207e-06]],0.3272326,,,
[[9.196927e-07]],0.32551506,,,
[[1.0569246e-06]],0.3242824,,,
[[8.5029995e-07]],0.30647942,,,
[[9.133021e-07]],0.28306806,,,
[[1.0286935e-06]],0.24661651,,,
[[8.4468655e-07]],0.29051757,,,
[[1.874881e-06]],0.31042182,,,
[[9.039929e-07]],0.2548039,,,
[[9.682616e-07]],0.2743312,,,
[[1.6895838e-06]],0.26684794,,,
[[2.2064703e-06]],0.30760068,,,
,,0.02,0.14,0.2
[[5.7655734e-06]],0.26757413,,,
[[2.6359573e-06]],0.27563927,,,
[[1.2432171e-06]],0.26220962,,,
[[1.0649895e-06]],0.25666216,,,
[[2.4670926e-06]],0.24051061,,,
[[1.2890691e-06]],0.24533159,,,
[[3.1228576e-06]],0.25914246,,,
[[6.0191346e-06]],0.21713915,,,
[[1.347656e-06]],0.21542236,,,
[[1.5099976e-06]],0.23934495,,,
[[2.5050808e-06]],0.20022541,,,
[[3.9800166e-06]],0.20838457,,,
[[1.2936342e-06]],0.23809446,,,
[[2.5740321e-06]],0.24818037,,,
[[4.029464e-06]],0.21835493,,,
[[3.7312016e-06]],0.2468304,,,
,,0.02,0.16,0.02
[[1.5357746e-06]],0.22356199,,,
[[1.6999624e-06]],0.22905152,,,
[[2.2397132e-06]],0.1896812,,,
[[1.6444122e-06]],0.22943567,,,
[[1.6537499e-06]],0.21221793,,,
[[1.5064519e-06]],0.17907354,,,
[[3.1192073e-06]],0.21230611,,,
[[1.7659834e-06]],0.1960719,,,
[[1.7914925e-06]],0.19054043,,,
[[5.8681426e-06]],0.23106024,,,
[[2.1838957e-06]],0.21036653,,,
[[1.9909187e-06]],0.20053469,,,
[[2.8115592e-06]],0.2039217,,,
[[2.5470936e-06]],0.21819934,,,
[[5.088257e-06]],0.19492926,,,
[[2.1761034e-06]],0.18174677,,,
,,0.0,0.32,0.14
[[2.1796077e-06]],0.18941335,,,
[[2.4988994e-06]],0.17891435,,,
[[3.020075e-06]],0.19382519,,,
[[5.6632935e-06]],0.17346911,,,
[[3.377715e-06]],0.16954523,,,
[[1.9592987e-06]],0.14541201,,,
[[2.7015337e-06]],0.19603151,,,
[[4.246773e-06]],0.16946867,,,
[[3.1275356e-06]],0.13829912,,,
[[3.022484e-06]],0.18119024,,,
[[2.3412656e-06]],0.18071428,,,
[[8.606729e-06]],0.16085398,,,
[[3.3761562e-06]],0.18003547,,,
[[3.1411741e-06]],0.1590746,,,
[[4.8493366e-06]],0.1476511,,,
[[2.2795864e-06]],0.15197738,,,
,,0.02,0.26,0.02
[[2.2038228e-06]],0.14725591,,,
[[9.238201e-06]],0.14940399,,,
[[3.2222285e-06]],0.13018228,,,
[[4.406373e-06]],0.13212252,,,
[[7.132381e-06]],0.17076989,,,
[[5.1462944e-06]],0.15368856,,,
[[7.0681135e-06]],0.16139533,,,
[[2.0884406e-06]],0.14859313,,,
[[1.6593169e-05]],0.14463328,,,
[[2.209534e-06]],0.15032409,,,
[[3.6014287e-06]],0.13748501,,,
[[4.304385e-06]],0.16753544,,,
[[2.035397e-06]],0.16451006,,,
[[1.1564048e-05]],0.145975,,,
[[3.0980664e-06]],0.13298245,,,
[[1.0493015e-05]],0.14857246,,,
,,0.02,0.42,0.06
[[2.1683595e-06]],0.13612995,,,
[[9.630584e-06]],0.124825515,,,
