ewc_loss,kl_loss,win_rate_simple,win_rate_static_3
2.3961038e-05,0.2665243,,
2.341901e-05,0.29022637,,
2.4876725e-05,0.23643322,,
2.6899128e-05,0.23162195,,
3.079631e-05,0.21624266,,
3.034137e-05,0.1799819,,
2.9402041e-05,0.1587811,,
3.3018387e-05,0.1535419,,
2.9943898e-05,0.14244968,,
2.9753512e-05,0.12121262,,
2.9696264e-05,0.12543839,,
2.8689663e-05,0.11813921,,
2.9129937e-05,0.116069786,,
2.9101286e-05,0.10650666,,
2.8833074e-05,0.09172977,,
2.8855773e-05,0.12532848,,
,,0.42,0.54
2.6195736e-05,0.092197664,,
2.7138876e-05,0.09243795,,
2.6097587e-05,0.08110239,,
2.5528603e-05,0.08649744,,
2.96135e-05,0.08324201,,
2.8382618e-05,0.087552585,,
2.6233514e-05,0.07895597,,
2.5200423e-05,0.07697071,,
2.5553729e-05,0.071477994,,
2.54491e-05,0.09229098,,
2.3234723e-05,0.06547529,,
2.3320594e-05,0.06982224,,
2.2417807e-05,0.06909053,,
2.3733035e-05,0.06367764,,
2.358858e-05,0.06932807,,
2.3292057e-05,0.07945211,,
,,0.6,0.22
2.4329716e-05,0.07396939,,
2.4085666e-05,0.063239455,,
2.2420993e-05,0.06716411,,
2.3234248e-05,0.06664403,,
2.2691485e-05,0.06635994,,
2.1863028e-05,0.065122694,,
2.1742813e-05,0.06848884,,
2.3187165e-05,0.059316553,,
2.1109223e-05,0.05783607,,
2.2544074e-05,0.06683755,,
2.0786487e-05,0.06035961,,
2.242915e-05,0.04822057,,
2.4829438e-05,0.05930197,,
2.108068e-05,0.05457587,,
2.2215498e-05,0.06058862,,
2.1428878e-05,0.05087784,,
,,0.76,0.04
2.0641468e-05,0.051386822,,
2.0007776e-05,0.047698136,,
2.023333e-05,0.0454375,,
2.1305916e-05,0.04941635,,
2.0500333e-05,0.064379185,,
2.3100876e-05,0.05479823,,
2.1638576e-05,0.045078073,,
2.2597162e-05,0.046970703,,
2.112879e-05,0.059887454,,
2.0980853e-05,0.0501762,,
2.0055253e-05,0.05070879,,
1.954016e-05,0.04159396,,
2.2032496e-05,0.04630188,,
2.379178e-05,0.05897651,,
2.0284062e-05,0.047525264,,
1.9965764e-05,0.04093039,,
