ewc_loss,kl_loss,win_rate_simple,win_rate_static_3
[[0.00018921]],0.2941773,,
[[9.8383225e-06]],0.29195115,,
[[7.298757e-06]],0.25589618,,
[[7.016989e-06]],0.24732761,,
[[0.00018518]],0.20794766,,
[[9.1440315e-06]],0.16567108,,
[[1.8752136e-05]],0.15791915,,
[[1.5769929e-05]],0.1371167,,
[[3.9966613e-05]],0.13469745,,
[[1.1782834e-05]],0.12202846,,
[[4.6584584e-05]],0.11385811,,
[[1.9320265e-05]],0.1100305,,
[[0.00027139]],0.10963521,,
[[6.8818874e-05]],0.12229798,,
[[1.2897943e-05]],0.10329154,,
[[0.00032787]],0.09839927,,
,,0.56,1.0
[[1.419363e-05]],0.088211514,,
[[4.330517e-05]],0.081812456,,
[[2.1590631e-05]],0.09933752,,
[[0.00033716]],0.08482167,,
[[1.2815631e-05]],0.07686465,,
[[2.6930882e-05]],0.080944635,,
[[3.92772e-05]],0.08192503,,
[[9.031606e-05]],0.07640976,,
[[2.6102323e-05]],0.08934338,,
[[0.00016076]],0.06301976,,
[[3.9418836e-05]],0.073419355,,
[[3.7677186e-05]],0.07490418,,
[[2.3336474e-05]],0.060735844,,
[[6.672214e-05]],0.06346736,,
[[5.165028e-05]],0.06576362,,
[[3.3552747e-05]],0.070193335,,
,,0.52,0.96
[[6.717931e-05]],0.046107348,,
[[7.705152e-05]],0.05708643,,
[[0.00026675]],0.06124163,,
[[9.3972456e-05]],0.0546278,,
[[7.456263e-05]],0.053904887,,
[[1.1936361e-05]],0.051130548,,
[[8.39339e-05]],0.051022705,,
[[0.00011156]],0.052315854,,
[[0.00017304]],0.048072442,,
[[5.7794274e-05]],0.04864595,,
[[0.00029162]],0.0507048,,
[[6.374243e-05]],0.0669028,,
[[4.423944e-05]],0.053707134,,
[[0.00014595]],0.057714343,,
[[0.00037591]],0.050400704,,
[[2.1447408e-05]],0.044466116,,
,,0.62,0.78
[[8.275413e-05]],0.050411776,,
[[4.836884e-05]],0.046023067,,
[[8.369667e-05]],0.05164958,,
[[0.00013227]],0.04269426,,
[[4.9021935e-05]],0.05056761,,
[[8.708572e-05]],0.0458559,,
[[0.00024562]],0.052341744,,
[[4.5832217e-05]],0.06107197,,
[[0.00013305]],0.03856662,,
[[0.00012258]],0.046163615,,
[[3.3612687e-05]],0.039966553,,
[[9.883422e-05]],0.034880113,,
[[6.129726e-05]],0.04802932,,
[[7.7956436e-05]],0.053240437,,
[[9.5536976e-05]],0.04455273,,
[[0.00082286]],0.04860699,,
,,0.72,0.44
[[0.00017808]],0.043043155,,
[[4.2959087e-05]],0.048070952,,
[[0.00060482]],0.044313896,,
[[3.7519214e-05]],0.035738505,,
[[4.1949304e-05]],0.053174328,,
[[8.5774474e-05]],0.033320557,,
[[3.2591088e-05]],0.034438103,,
[[8.985665e-05]],0.036780387,,
[[0.00018438]],0.03957433,,
[[0.00027863]],0.046003886,,
[[2.0630283e-05]],0.039405055,,
[[8.172579e-05]],0.039939392,,
[[8.1428036e-05]],0.04759925,,
[[7.892735e-05]],0.038739894,,
[[4.2814845e-05]],0.04084167,,
[[0.00024944]],0.04063241,,
,,0.82,0.28
[[7.110104e-05]],0.036503583,,
[[7.5024014e-05]],0.03559207,,
[[2.3060538e-05]],0.032901265,,
[[6.530149e-05]],0.03258363,,
[[0.00019006]],0.03611553,,
[[7.5393036e-05]],0.034529764,,
[[0.00053199]],0.039557338,,
[[0.00073818]],0.02991451,,
[[1.2960618e-05]],0.039625507,,
[[2.1548343e-05]],0.03739805,,
[[0.00017131]],0.038702168,,
[[1.2083888e-05]],0.03246219,,
[[0.00054305]],0.030472314,,
[[0.00032231]],0.03893277,,
[[4.4660475e-05]],0.0393558,,
[[0.0001837]],0.036682047,,
,,0.7,0.28
[[0.0001616]],0.038749274,,
[[5.6844216e-05]],0.032156352,,
[[0.00018085]],0.03452403,,
[[6.291188e-05]],0.029484697,,
[[6.114453e-05]],0.03637276,,
[[0.00054607]],0.035252772,,
[[0.00011424]],0.028431613,,
[[0.00010447]],0.03238058,,
[[3.933638e-05]],0.030471273,,
[[0.00016954]],0.024192095,,
[[0.00013776]],0.036638856,,
[[0.00035376]],0.033000298,,
[[0.0001628]],0.04359169,,
[[0.0010952]],0.03516001,,
[[0.00050916]],0.034076974,,
[[0.00017861]],0.031701446,,
,,0.82,0.1
[[4.2557996e-05]],0.02989099,,
[[2.611258e-05]],0.04052125,,
[[3.2673204e-05]],0.036604453,,
[[6.360225e-05]],0.030157492,,
[[0.00065828]],0.03225706,,
[[0.00032365]],0.032074295,,
[[5.837005e-05]],0.034681503,,
[[3.3021297e-05]],0.034949947,,
[[5.7321322e-05]],0.03308661,,
[[0.00026379]],0.03178234,,
[[4.827365e-05]],0.025982251,,
[[8.461917e-05]],0.029710421,,
[[0.00091885]],0.032266848,,
[[2.2988079e-05]],0.028415024,,
[[5.4670872e-05]],0.03067635,,
[[0.0001014]],0.027556473,,
,,0.78,0.06
[[1.1509416e-05]],0.027856868,,
[[1.0113828e-05]],0.03303831,,
[[8.5174615e-05]],0.024220416,,
[[9.628313e-06]],0.030307954,,
[[0.0001765]],0.029797245,,
[[0.00041244]],0.026241431,,
[[3.6947487e-05]],0.036989253,,
[[7.1275266e-05]],0.028133538,,
[[4.0691786e-05]],0.03428806,,
[[0.00019995]],0.029608132,,
[[2.8101425e-05]],0.025883675,,
[[5.003915e-05]],0.026177378,,
[[0.00035229]],0.027343923,,
[[2.2780718e-05]],0.026742166,,
[[0.0001162]],0.020982694,,
[[9.127657e-05]],0.021600688,,
,,0.8,0.1
[[0.0002048]],0.026067302,,
[[1.1787139e-05]],0.026302481,,
[[0.00016584]],0.029509282,,
[[4.8007452e-05]],0.025509786,,
