ewc_loss,kl_loss,win_rate_simple,win_rate_static_3
[[0.7738359]],0.28653347,,
[[0.6632404]],0.24114941,,
[[0.7659338]],0.17692451,,
[[0.98569876]],0.15749058,,
[[1.0610662]],0.11077019,,
[[1.1648743]],0.099793606,,
[[1.2954804]],0.10531483,,
[[1.4092196]],0.085112475,,
[[1.4525076]],0.064877965,,
[[1.4832569]],0.0786627,,
[[1.5161647]],0.064403385,,
[[1.5788178]],0.064785324,,
[[1.6135465]],0.066374466,,
[[1.6288753]],0.078072265,,
[[1.71707]],0.059000105,,
[[1.7383841]],0.06488949,,
,,0.64,0.0
[[1.7882637]],0.04698004,,
[[1.8252969]],0.051661547,,
[[1.8609481]],0.04571399,,
[[1.8867949]],0.040665105,,
[[1.8983921]],0.03734268,,
[[1.9930422]],0.038332842,,
[[2.0226104]],0.035910077,,
[[2.1021307]],0.0428826,,
[[2.078704]],0.047091812,,
[[2.1570914]],0.039403856,,
[[2.2378852]],0.045200337,,
[[2.2234797]],0.040011417,,
[[2.2184367]],0.02978566,,
[[2.2171562]],0.034936085,,
[[2.1851697]],0.03770889,,
[[2.2389562]],0.031622324,,
,,0.72,0.0
[[2.1852088]],0.032573074,,
[[2.2632725]],0.033662934,,
[[2.4107835]],0.036589283,,
[[2.4168756]],0.029384874,,
[[2.4581413]],0.027528014,,
[[2.4603934]],0.033005033,,
[[2.5113032]],0.027438516,,
[[2.4824412]],0.039556142,,
[[2.4244566]],0.026394688,,
[[2.5229876]],0.030659912,,
[[2.524525]],0.024353387,,
[[2.536764]],0.02413878,,
[[2.5740519]],0.025949161,,
[[2.6200333]],0.022716183,,
[[2.6365242]],0.027997509,,
[[2.6768148]],0.027105605,,
,,0.9,0.0
[[2.7780504]],0.022798626,,
[[2.7396026]],0.025930898,,
[[2.8282962]],0.020938577,,
[[2.7685564]],0.019445412,,
[[2.8184462]],0.026083829,,
[[2.854671]],0.023607017,,
[[2.9962373]],0.019267976,,
[[2.9745972]],0.024114406,,
[[2.9521325]],0.022057705,,
[[3.005451]],0.024569007,,
[[3.0699286]],0.017310873,,
[[2.9191904]],0.02536956,,
[[2.9914322]],0.024795441,,
[[2.9905088]],0.022506628,,
[[2.9946887]],0.023714101,,
[[3.055589]],0.020849468,,
,,0.86,0.0
[[3.1694658]],0.020178275,,
[[2.9903834]],0.02410808,,
[[3.1984134]],0.02089318,,
[[3.22795]],0.021442138,,
[[3.2520833]],0.020162074,,
[[3.26628]],0.019759508,,
[[3.2675319]],0.020117894,,
[[3.2381134]],0.01868917,,
[[3.3262475]],0.01771042,,
[[3.312407]],0.022208981,,
[[3.4712448]],0.018768236,,
[[3.4981546]],0.019754076,,
[[3.3780959]],0.017437378,,
[[3.449644]],0.013750503,,
[[3.4594347]],0.018713135,,
[[3.3802242]],0.021025114,,
