bc_loss,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss,lose_rate,tie_rate,win_rate
1.7672760486602783,-1.9631280899047852,1171,8110,1.623885154724121,1297600,0.00428105890750885,,,
1.4865200519561768,0.5073776841163635,1171,8120,1.6569135189056396,1299200,0.00021428617765195668,,,
1.4658265113830566,-9.306840896606445,1171,8130,1.565173864364624,1300800,0.001937644206918776,,,
0.1757267415523529,-112.9500503540039,1171,8140,0.5619552135467529,1302400,0.001981325214728713,,,
3.495478868484497,-3.8635830879211426,1171,8150,0.6717569828033447,1304000,0.002902176696807146,,,
1.8748928308486938,-21.98211669921875,1171,8160,1.515197515487671,1305600,0.004741225391626358,,,
0.025758370757102966,-3.797734260559082,1171,8170,0.1504809558391571,1307200,0.043084271252155304,,,
1.8123096227645874,-0.7508339881896973,1171,8180,1.6616783142089844,1308800,0.00012313465413171798,,,
1.6635684967041016,-1.2605984210968018,1171,8190,1.399143934249878,1310400,0.00019291386706754565,,,
1.0135482549667358,-1305.580078125,1171,8200,1.2489162683486938,1312000,0.015116936527192593,,,
1.3390823602676392,-514.8521118164062,1171,8210,1.4267261028289795,1313600,0.014996329322457314,,,
1.5128870010375977,-7.669374465942383,1171,8220,1.6970453262329102,1315200,0.0005126281757839024,,,
1.9982916116714478,-7.704872131347656,1171,8230,1.5638599395751953,1316800,0.0006347669987007976,,,
1.9209344387054443,-0.23904621601104736,1171,8240,1.5476877689361572,1318400,0.0003558294556569308,,,
1.0783231258392334,-183.4457244873047,1171,8250,1.2525643110275269,1320000,0.014158549718558788,,,
2.8161540031433105,0.6827725768089294,1171,8260,0.4565657675266266,1321600,0.13997726142406464,,,
2.234163761138916,-1579.5118408203125,1171,8270,1.7210569381713867,1323200,0.004514133092015982,,,
1.4828505516052246,-643.4085083007812,1171,8280,1.263899564743042,1324800,0.005266678985208273,,,
0.9606671333312988,0.5997759997844696,1171,8290,1.3845456838607788,1326400,0.17813780903816223,,,
1.0557602643966675,0.6615922451019287,1171,8300,0.682226300239563,1328000,0.10954012721776962,,,
1.3439308404922485,-33.322914123535156,1171,8310,1.712701439857483,1329600,0.0008917166269384325,,,
1.8325130939483643,-1037.6942138671875,1171,8320,1.4013131856918335,1331200,0.0024756358470767736,,,
1.282518744468689,-376.2452087402344,1171,8330,1.505629062652588,1332800,0.02704150415956974,,,
1.5439603328704834,-985.8902587890625,1171,8340,1.6032435894012451,1334400,0.010213562287390232,,,
1.4610841274261475,-2.892003297805786,1171,8350,1.574878215789795,1336000,0.00017402715457137674,,,
0.6214324235916138,0.7527567744255066,1171,8360,0.9972058534622192,1337600,0.050746459513902664,,,
