ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple,win_rate_static_3
2.8341685e-05,0.23346981,,,
2.5249286e-05,0.187556,,,
2.5435686e-05,0.16301985,,,
2.6232627e-05,0.17615025,,,
2.6852824e-05,0.14880523,,,
2.7369071e-05,0.1282455,,,
2.8113694e-05,0.118026696,,,
2.909444e-05,0.13222545,,,
2.8928856e-05,0.12243352,,,
2.72843e-05,0.12761813,,,
2.8678107e-05,0.09966524,,,
3.0028546e-05,0.10423114,,,
2.7245658e-05,0.09394347,,,
2.8115239e-05,0.09959552,,,
2.7880786e-05,0.10922394,,,
2.8632841e-05,0.11050007,,,
,,0.44,0.5,0.04
2.8707396e-05,0.09115865,,,
2.63276e-05,0.0862043,,,
2.6517117e-05,0.09177992,,,
2.6856358e-05,0.080448754,,,
2.6187678e-05,0.07320141,,,
2.5436846e-05,0.094851434,,,
2.8098075e-05,0.08516966,,,
2.4000465e-05,0.08211711,,,
2.5080322e-05,0.08067885,,,
2.5813419e-05,0.066985555,,,
2.7702497e-05,0.06086236,,,
2.50178e-05,0.07628829,,,
2.3810468e-05,0.07666561,,,
2.4194755e-05,0.073667884,,,
2.4625635e-05,0.07520816,,,
2.5059087e-05,0.08119214,,,
,,0.52,0.38,0.02
2.6253785e-05,0.07711868,,,
2.422913e-05,0.07517407,,,
2.4023831e-05,0.081450365,,,
2.3947488e-05,0.065805055,,,
2.243885e-05,0.06809939,,,
2.4767955e-05,0.059948586,,,
2.2956872e-05,0.07007286,,,
2.218147e-05,0.059205726,,,
2.361832e-05,0.06619748,,,
2.2339354e-05,0.055034585,,,
2.2639262e-05,0.05215531,,,
2.2901258e-05,0.059113253,,,
2.477309e-05,0.0650986,,,
2.5240024e-05,0.055208977,,,
2.4106277e-05,0.0627054,,,
2.311395e-05,0.05152302,,,
,,0.66,0.3,0.0
2.2772045e-05,0.058752105,,,
2.2737013e-05,0.050912376,,,
2.314656e-05,0.06213324,,,
2.3190512e-05,0.047765322,,,
2.1856105e-05,0.05080365,,,
2.4765002e-05,0.054196,,,
2.3654218e-05,0.051188704,,,
2.3309542e-05,0.06718558,,,
2.3731734e-05,0.050489523,,,
2.2141996e-05,0.07244622,,,
2.2479671e-05,0.052882716,,,
2.2352737e-05,0.0558887,,,
2.1719492e-05,0.052429494,,,
2.1881182e-05,0.04627047,,,
2.13849e-05,0.06716037,,,
1.9687552e-05,0.05963779,,,
,,0.64,0.32,0.0
2.2634937e-05,0.05038914,,,
2.0758685e-05,0.06314413,,,
2.0412514e-05,0.06432285,,,
2.2011842e-05,0.041900177,,,
2.1667143e-05,0.052248478,,,
2.283448e-05,0.052304965,,,
1.9411586e-05,0.050837267,,,
1.9487112e-05,0.05504868,,,
2.1683685e-05,0.050322514,,,
2.3510207e-05,0.04775619,,,
2.1040438e-05,0.044972423,,,
2.2003778e-05,0.050292015,,,
2.3361821e-05,0.058135103,,,
1.9623882e-05,0.057286922,,,
2.084401e-05,0.052471615,,,
2.1266005e-05,0.055543955,,,
,,0.78,0.18,0.0
2.1162215e-05,0.040104453,,,
2.1799035e-05,0.043613352,,,
1.920157e-05,0.04642271,,,
2.052802e-05,0.04554555,,,
1.9710807e-05,0.049635,,,
2.0340296e-05,0.040781423,,,
2.132849e-05,0.048221473,,,
2.2268076e-05,0.040989853,,,
2.0190375e-05,0.060895834,,,
2.258693e-05,0.056625213,,,
1.962194e-05,0.05289602,,,
1.9589097e-05,0.04105449,,,
2.0536505e-05,0.050078817,,,
2.5640606e-05,0.047813643,,,
2.24512e-05,0.04551548,,,
2.039248e-05,0.05476643,,,
,,0.82,0.2,0.0
2.0710328e-05,0.039826654,,,
2.0000185e-05,0.0384907,,,
1.9613051e-05,0.05230411,,,
1.9747778e-05,0.041617613,,,
1.8696715e-05,0.04449219,,,
1.9435969e-05,0.050452188,,,
2.0176674e-05,0.051963583,,,
2.106686e-05,0.042204868,,,
1.9719504e-05,0.046738673,,,
2.0611993e-05,0.051269922,,,
1.9200947e-05,0.052002374,,,
2.306103e-05,0.04282135,,,
2.1173902e-05,0.04108198,,,
2.0369309e-05,0.044829715,,,
1.8866094e-05,0.043158367,,,
2.1177706e-05,0.03667549,,,
,,0.78,0.26,0.0
1.9753381e-05,0.03810637,,,
1.8530409e-05,0.044386726,,,
1.908799e-05,0.040749878,,,
2.0673551e-05,0.037513666,,,
1.9156058e-05,0.03954278,,,
2.0628533e-05,0.04250213,,,
1.9217541e-05,0.038533058,,,
1.9799036e-05,0.045781344,,,
1.9058722e-05,0.04071452,,,
2.0725774e-05,0.03443186,,,
2.2874303e-05,0.040892974,,,
2.3039513e-05,0.047703434,,,
1.9692181e-05,0.043891903,,,
1.9841482e-05,0.04374058,,,
2.1184791e-05,0.043335117,,,
1.854075e-05,0.033409912,,,
,,0.68,0.26,0.0
1.9856712e-05,0.043661054,,,
1.847702e-05,0.034237627,,,
1.8556413e-05,0.033661984,,,
1.95413e-05,0.04063567,,,
1.9509043e-05,0.04387672,,,
1.8605926e-05,0.03808909,,,
2.1181751e-05,0.050148185,,,
2.2049184e-05,0.042439085,,,
2.0213312e-05,0.04666865,,,
1.9260122e-05,0.038417038,,,
2.1043496e-05,0.043208346,,,
2.1443242e-05,0.036085367,,,
2.02737e-05,0.039600894,,,
1.9054916e-05,0.043651238,,,
1.9423589e-05,0.040403172,,,
